T_max (°C),T_min (°C),ET_0 (mm/day)
40.91585339,18.60843816,7.750061706
42.80010684,18.19036961,8.265647799
31.75990314,17.49462045,5.528461506
32.51165905,28.51058643,3.333914382
26.8796388,26.57859782,0.842899887
36.56560282,12.1799998,7.184859744
25.71884548,12.16246705,4.667000488
34.31196036,18.5573903,6.057385548
35.85289269,11.97314753,7.032432524
30.73082504,22.38186191,4.421718643
36.81666521,12.87383215,7.199088544
25.610005,20.44746528,3.200491838
25.74696377,10.14439894,4.871252848
41.45201121,16.33192697,8.073685541
32.20381283,23.54381447,4.637087335
27.54121025,19.6807788,4.005511178
35.4448652,29.56538972,4.208241362
40.39987106,27.48207592,6.415756714
29.31642055,17.18141558,4.933337065
37.45780952,10.90973083,7.463062508
26.7069493,26.912526,
26.03363442,28.22468621,
35.62709263,26.41254787,5.112722403
35.81270243,12.55899882,6.98502746
37.74859803,29.95830269,4.973881032
39.52182667,15.17168443,7.685929416
44.51704159,24.48409826,8.076029521
35.32600697,28.16069753,4.575325109
31.45912946,14.71374229,5.772260812
40.9037239,28.16517109,6.444166968
30.41664503,16.18963158,5.348733359
33.77942841,29.52826445,3.51781583
26.56912763,15.62520041,4.439393393
25.50701487,29.0687165,
44.25296829,11.07089302,9.034804144
41.71960241,24.18544023,7.331945481
38.91948412,20.64222268,7.017895295
33.17905889,19.55754154,5.623963909
28.4658864,14.46988629,5.068256536
28.12874085,24.1119158,3.036869514
30.00485796,13.81618983,5.512267334
35.98453329,21.05683592,6.174339072
39.29191845,15.06490726,7.637885465
38.20394753,29.1124276,5.352933258
30.59867794,10.57262388,5.926328166
44.09730561,13.9945656,8.867353581
39.75793833,14.84621213,7.766360238
36.08708105,18.28135652,6.548760427
37.23441492,14.65460484,7.171380938
33.39200125,19.82698181,5.642935758
29.95461979,27.44931047,2.539341315
32.11945357,24.24126843,4.452506511
40.15692221,21.59923961,7.234598176
25.28786977,11.78006356,4.607064783
27.32145281,23.87984217,2.777769288
25.92005284,13.32828569,4.581572949
25.81457605,25.72734772,0.443961198
42.10921168,15.00113517,8.326579955
39.07315719,18.34097457,7.305678372
34.48347658,17.00940405,6.280132717
26.95668321,27.17627829,
34.8323175,12.53088917,6.758354508
34.46943542,21.31289765,5.717710332
28.4640374,12.84123219,5.243541472
33.67703298,24.09591672,4.985609201
32.97009469,28.10156256,3.67948709
37.31700196,18.69215308,6.819842668
37.70187302,19.76184521,6.799563838
25.9060802,28.54845673,
32.49225229,20.41982777,5.305042845
37.51719831,19.75196876,6.752211879
35.06272517,21.56658205,5.844708869
42.12979682,23.78459473,7.500288442
38.17387263,12.1376675,7.56187417
28.25868854,26.42221055,2.110463465
26.41137495,18.71010055,3.864199055
37.84838556,11.4469702,7.524655767
25.53022621,25.72365338,
36.71551163,17.53899943,6.787561774
43.80460483,12.0073499,8.891743163
36.50948356,22.67558079,6.08136917
32.76339852,27.60262707,3.76065871
37.86576437,27.75507019,5.552000548
34.16505781,29.1532695,3.819989972
35.91233579,27.3541092,4.989188447
43.82929618,10.04281839,8.971152939
32.72205276,17.60482333,5.763074378
44.22381128,26.3708516,7.740105887
43.10701284,17.32506012,8.411303563
28.9158227,22.03097013,3.917305124
26.38722602,22.12633895,2.995057409
27.01556003,17.30050608,4.296806587
25.36443651,28.08947855,
26.88885922,20.06456691,3.720086274
38.66013547,19.29568412,7.101702996
26.42377297,29.95027491,
31.37951261,19.87000728,5.082587341
41.89750622,13.56796504,8.361084435
25.46543871,20.26138846,3.200321947
41.28936965,26.28033471,6.894736447
30.6370955,25.53720654,3.575119392
27.36329655,25.7716353,1.931119019
38.93474331,24.16047568,6.543923223
37.57885694,15.08435658,7.221160706
42.54944027,27.24168172,7.112936461
39.70142088,27.86886931,6.12185381
41.06961861,13.88305393,8.144558338
30.64069145,12.60911273,5.775726166
28.54879088,29.51209937,
40.01229503,27.36647927,6.316990778
41.13669479,27.86472294,6.573465623
44.81010284,27.72752769,7.709791238
33.25235354,20.83373648,5.451936739
32.44036172,22.92803473,4.839751063
40.52825921,20.90725704,7.414475136
31.81607081,11.02412698,6.169860233
43.61514651,24.91006171,7.768279144
42.16825504,20.10664067,7.930107163
33.57988055,22.9541815,5.180695584
40.01742136,20.0527961,7.373886386
40.09085748,19.83622645,7.416137754
27.06247738,13.43578219,4.845728687
43.05105813,15.5742743,8.52000258
35.10504745,13.17705384,6.775757409
41.52914932,13.91332591,8.25300588
31.40099202,29.45954761,2.318468858
42.91046457,13.06226892,8.630070014
32.78403357,15.38540849,6.027430165
25.21675303,21.81179315,2.630117859
43.10763953,22.20357152,7.958732766
26.82573354,13.07948259,4.82901093
31.38627275,25.87434852,3.760731294
44.00123934,25.70405736,7.770186078
44.01214294,14.74635408,8.805423159
36.46875776,15.77332605,6.893328485
37.63674424,28.75975731,5.242122501
33.96891044,26.51342892,4.525541136
30.86421543,23.95594066,4.099577995
31.57329091,11.64466443,6.069500443
38.45036912,18.36528162,7.144494223
40.04749059,21.18603744,7.254415547
40.83158087,13.74822576,8.095610989
40.79236286,18.96453164,7.68504636
26.82412206,22.02051755,3.192602196
34.88840609,16.5475336,6.429803753
26.1511752,25.61889638,1.099566207
35.99057765,26.80899163,5.143291635
33.83061003,16.47218939,6.173785273
42.75408366,26.77314309,7.249456954
32.01830025,12.07153132,6.139433317
27.34134033,26.75458197,1.185199449
27.85983364,13.05500863,5.078511333
40.23021263,11.65854305,8.066945981
37.36436127,22.83550809,6.298972085
27.02245352,19.43874732,3.898232315
26.68213612,28.15781201,
39.01938263,17.26378392,7.392827503
26.45526013,15.74304527,4.39236957
41.43720119,20.01469812,7.748689262
39.12484454,19.11892372,7.240587575
26.62697561,16.88856092,4.258876134
26.69675428,23.87482597,2.497043711
44.73279157,25.19123668,8.046740934
32.48541592,27.05967938,3.823004907
32.41284294,29.45713209,2.890619492
41.25599135,15.33312384,8.096741354
43.94497155,24.32186965,7.93688071
44.72002128,17.88516471,8.775526076
40.06756371,23.54163944,6.957031021
32.52519171,19.51963381,5.45230163
26.67001433,29.87546206,
40.54293832,24.57804272,6.942119545
36.16808499,29.04982601,4.639954121
33.48444018,26.69939099,4.303856711
43.1270877,28.05802022,7.150608143
27.22394965,26.28838394,1.486839404
34.85250209,19.18318261,6.120615635
25.2270729,15.03576907,4.177659906
34.37321284,17.40640351,6.208680659
26.12606551,10.40472465,4.933493736
27.37635833,20.47986335,3.780611321
27.35052494,20.10115601,3.857337393
37.98420604,20.5050093,6.785622287
39.92089759,29.4806245,5.852489232
36.6673753,28.22908007,5.03578525
44.24345097,13.23425557,8.940874973
32.49741159,17.37765043,5.733251448
30.71424173,18.47912359,5.116288845
42.37198256,17.21065836,8.235948016
29.47191677,25.96991927,2.938921748
44.26445079,20.4807534,8.441612366
25.24308949,21.44199634,2.767352501
44.39757653,27.06027118,7.689505407
25.86319824,26.11856307,
42.82286227,12.64423046,8.629792331
35.55402218,24.27829168,5.527858237
44.85929592,18.70872258,8.747850302
26.47593129,15.89297806,4.375362066
36.07708569,11.00037642,7.141862898
44.38605071,19.74499121,8.539828408
35.46195688,17.10873361,6.515826555
37.58797276,15.03026079,7.227614497
38.91497378,23.89343459,6.579282352
34.0908213,25.38970775,4.838024987
37.5511616,14.89579038,7.229179642
36.68628624,10.98894873,7.281972432
43.02316021,26.97505401,7.297222156
25.90892761,10.19919482,4.902773722
30.61926379,28.74224988,2.244246073
44.00822968,22.55239748,8.162916082
42.80527568,16.4369327,8.401023059
34.11313506,14.92955819,6.395041489
37.40265196,10.18011329,7.486636799
30.54762366,14.70942834,5.550854578
28.76242319,12.75456603,5.322378613
34.2739681,22.24332441,5.51156199
32.06704456,13.33091177,6.047879625
36.67312224,20.57259675,6.426448158
26.55469274,21.80232845,3.157191921
44.48789615,15.96083397,8.849306781
44.72421489,10.70129898,9.158787962
38.96323428,10.74507761,7.8170838
35.72192733,10.52694664,7.086941099
31.19055233,24.78249334,3.998710918
41.27590039,16.3601941,8.028044556
38.69462345,25.92600372,6.177577354
28.25233879,18.63465648,4.41275481
43.21854369,19.05996202,8.298739778
41.45074486,20.25765205,7.727456826
43.99599827,24.26062913,7.958769772
39.51439017,15.47005732,7.662122742
37.26830392,12.43174699,7.333040518
33.36486073,21.1211467,5.437547047
43.65456967,16.53955246,8.60464393
42.32127779,18.84982627,8.087322638
25.9043734,22.93893417,2.508411886
25.52733949,19.88251482,3.320107755
32.52926734,22.40557634,4.96906063
41.21106662,20.88400004,7.597996475
44.74552259,24.79592744,8.10084094
28.00833782,24.11873235,2.984526922
36.88261431,20.68379784,6.468299384
32.61781713,23.57806042,4.760917421
44.39828796,27.47119205,7.627205968
41.84237846,18.64542576,7.9831233
41.76657409,18.25526145,7.998059189
34.3738632,25.28491242,4.953942601
33.29639005,21.65107674,5.330169168
30.46814144,11.4201356,5.833777506
26.12750993,27.84224031,
42.29444753,10.61566204,8.593423977
41.25802018,24.96792712,7.089397718
44.99435347,25.17588285,8.122461147
44.93273674,29.06222171,7.531390846
36.10863411,11.08268817,7.144456057
40.3797483,21.93713722,7.253671685
43.8953146,18.55681141,8.514057762
41.99294781,16.6126591,8.186799046
29.94696203,11.80637121,5.683211858
34.01088271,21.25308239,5.598461346
27.5831883,19.58081451,4.0386852
44.08102055,12.09108916,8.953781031
37.12349269,22.24979014,6.318297855
29.57285611,24.75906241,3.403664108
38.43401369,25.34556602,6.201979488
37.36256481,28.10746377,5.30398235
32.16325436,18.18941484,5.542508184
27.27115184,29.06145537,
38.43146391,27.3085881,5.830137083
35.40615402,15.93003142,6.618215885
40.44636783,13.18566075,8.036712341
35.40327002,18.70778792,6.323165657
42.04363001,18.03797416,8.08675592
36.03813678,21.51438611,6.123829821
36.21875943,21.66772465,6.151554353
42.53307205,24.99973969,7.449346753
33.06965732,20.19779896,5.49987064
27.68030457,12.09645282,5.132913602
25.57565353,27.16582671,
40.10274511,16.19529166,7.751075951
37.40619103,29.42594921,4.991526399
39.08159536,12.35720217,7.761683122
29.25928323,29.16502344,0.497957712
27.72742951,11.82023614,5.170128938
25.29089331,14.62072276,4.254892039
32.01175118,10.93159884,6.220644641
36.79835374,24.10226293,5.931358825
32.8448809,27.00597473,3.978640264
33.74949844,18.68142164,5.89458525
43.08317389,28.5704415,7.048158039
31.96510934,21.80598144,4.913764881
35.27978978,22.60014271,5.741972025
40.67306025,26.90838403,6.603492701
32.93085565,15.9360041,6.006675016
37.441734,17.08531443,7.014471337
42.24727417,28.11903838,6.870698457
43.99041247,28.01926992,7.418369172
27.94146962,29.52965552,
43.5317525,28.03676633,7.27699245
34.84232586,12.54744072,6.7595263
30.16488777,26.47448572,3.056625873
34.18271512,18.19676956,6.06791765
44.60065151,29.81602712,7.29714165
34.85236188,19.44561929,6.08687596
31.57503221,21.07672165,4.932557451
37.66801709,20.59549831,6.690132427
29.80291238,16.4347406,5.161527837
26.51726656,11.50044178,4.921080283
27.57759444,27.91302461,
27.56091678,26.05351625,1.889463692
28.03805387,12.79053561,5.148070966
27.77654345,25.53536543,2.296081036
37.8174949,22.51693332,6.473173929
28.63760169,18.18287576,4.597064016
31.91334567,15.08042298,5.845425726
42.9357682,27.19457567,7.236149976
34.47923281,24.00376519,5.252752725
38.35115477,20.95479819,6.828286018
28.44639742,22.19137068,3.720499008
28.84578038,11.82132364,5.428289313
25.81737233,19.47839522,3.513374874
28.37870126,13.87400586,5.114664187
30.57180678,14.16767358,5.612996369
28.54020969,23.22607925,3.47415422
26.77405068,28.22512304,
27.41271742,18.07513221,4.27427216
34.21557536,14.15498546,6.487658825
29.12667437,22.97493874,3.752282366
32.28539722,27.42374093,3.625064747
35.06834542,24.96637602,5.243336387
38.80789657,27.37514461,5.936629054
25.7862428,20.73109342,3.184864419
40.98820798,25.03752489,7.001360389
37.55800779,12.80129119,7.377827334
26.63518064,16.96549231,4.24838835
42.47157248,17.79098329,8.21515694
43.41744801,20.22591492,8.244328745
26.2215592,28.58152721,
30.53755296,27.4859312,2.821234916
41.1240256,12.69050985,8.224556819
39.96519381,13.45579304,7.906448733
28.69042039,17.15281099,4.772017327
29.18698647,15.81487732,5.084334791
32.40944206,22.29541906,4.954070661
34.6904597,28.05552096,4.369826295
37.36509543,29.24583083,5.02394378
32.37827279,23.07205905,4.791341697
34.25069432,26.76318403,4.560341143
39.94941876,20.504044,7.306515065
25.73366406,14.16653894,4.429451343
30.04873889,20.49376824,4.59326271
39.26699172,21.10165203,7.055701813
42.90413675,24.84915128,7.57551162
35.23354884,14.39765979,6.711100841
35.64226971,17.36620764,6.534399535
27.14344023,17.28054938,4.335222701
33.94824734,29.18879191,3.715761507
35.65234533,18.87889921,6.367597687
29.84941007,25.10187935,3.40343633
30.38486462,25.01622763,3.637204537
32.54568326,15.3108837,5.976579952
25.40142396,21.43739379,2.831322432
31.44158331,27.88605787,3.087689951
29.22896014,19.50395439,4.536606833
31.54994704,28.90235015,2.696017997
27.39524264,14.28916459,4.826333791
42.81054561,11.48318212,8.679214321
36.87184907,27.82907746,5.202892171
38.58204638,26.95362396,5.949135446
40.78342477,29.85179752,6.058987238
34.96884398,23.58786976,5.479363488
26.73840576,28.73375853,
35.74213084,26.5389805,5.122196667
36.73682236,26.88852666,5.371459117
39.90878948,21.38283141,7.193920914
33.63319092,17.64729196,5.992111105
27.55160606,28.69116145,
30.67551812,18.64234351,5.081340033
32.26164593,20.77638734,5.181787504
37.91834483,18.92228614,6.949983153
36.41556609,21.29636628,6.258794409
32.12193452,19.41010158,5.358843209
44.73030498,10.95935117,9.151290335
37.11549639,27.64096372,5.328602597
29.74453583,18.88787638,4.787584421
27.03564945,21.77887297,3.338612559
28.05718278,12.78375606,5.153275425
29.91915457,10.06775696,5.809399512
28.21362747,14.90580187,4.953641656
28.73134048,24.09172064,3.285457423
30.70190337,11.9838906,5.842543164
28.46747191,28.17774881,0.856494412
42.93530849,14.30045139,8.569429418
26.60467491,14.09187229,4.655553062
35.49022779,13.63015923,6.832864214
33.20793654,10.27963426,6.53255816
44.64757234,25.43610937,7.990560661
27.24077804,27.50069062,
32.95711198,22.28325405,5.119513398
44.38940867,13.76399963,8.949877959
42.31014252,15.70555994,8.329444226
41.34144142,19.51853395,7.773069516
30.15805654,29.08691903,1.69326933
28.41775175,14.94702744,4.999401299
38.3728644,24.63291808,6.304984179
43.58751978,18.78896447,8.416356853
36.13525786,15.95694697,6.795047446
36.43225379,19.11831874,6.542540087
30.59958187,11.42413435,5.863491289
40.38985866,25.97374742,6.678183503
28.74087497,14.86603856,5.08939461
31.47358473,24.50824246,4.169362293
33.50872877,11.36696743,6.532206788
35.15220757,29.10197112,4.236834669
29.84819465,13.86029971,5.470215645
27.29673649,27.65484152,
37.21240085,26.18946419,5.669974835
30.77261106,29.35719848,1.96461665
36.62476443,19.55781322,6.540746587
28.08725431,24.54794588,2.863453796
34.62280204,17.41421314,6.271180583
35.65178865,13.68736476,6.866840118
26.03647074,18.86151866,3.719492051
31.73208556,13.31498031,5.970192793
27.68829354,29.64089246,
26.26749941,11.92492982,4.820747556
44.79920465,21.78423447,8.456191763
31.4470769,22.52927711,4.614358577
41.19748892,20.76159086,7.607704905
30.0928131,23.24371771,4.015003158
38.63005444,12.3236155,7.657828178
40.2045572,21.10037048,7.306329233
36.91277481,15.74425142,7.004605357
34.43152377,28.80352127,4.044615156
33.23681828,25.24143307,4.588788405
31.97736533,29.45028964,2.660686827
43.59058288,10.75112139,8.890951178
41.61238816,15.7026635,8.158429612
44.30053821,13.90845173,8.921005712
27.48594447,10.22309175,5.254155139
39.6173495,14.8465146,7.732323185
43.76680914,23.57551967,7.979305917
28.62466132,14.62177844,5.089556215
26.32992535,20.18006891,3.512510329
39.82241299,27.7563623,6.182470327
36.48946226,23.87515841,5.879384924
41.83657554,17.8925814,8.046613665
27.79544753,17.44937878,4.48568747
40.90534624,19.11471628,7.699686017
29.0325464,13.54082882,5.307594659
28.27311886,22.68001535,3.531004952
28.28531596,17.28305638,4.644263799
41.2914944,27.04730699,6.766835879
38.30394441,25.1310532,6.200380582
35.4613085,22.21026328,5.856841386
32.17660968,17.28404445,5.662426439
42.54401082,14.19863663,8.480715966
32.84890215,25.52303728,4.387496077
41.33198879,19.72818198,7.750001739
33.78269817,14.49500076,6.354418284
32.53888859,13.9034923,6.109373417
34.25359571,13.30801809,6.565354464
31.02755748,25.54322392,3.723439479
39.9521876,14.57974371,7.831571674
35.0544078,20.53284527,5.994181753
29.6442539,19.03092722,4.736031258
42.99149147,21.59221798,7.994397194
32.67782443,27.54309801,3.745485338
35.87105722,27.3549478,4.974861053
43.12944222,19.02152144,8.279231471
37.48475992,10.30732501,7.499255728
27.33796081,18.52887611,4.170953487
43.79664247,22.12387075,8.152675046
37.55416106,21.15529518,6.587964454
31.69811229,23.02672212,4.588182008
27.78544145,13.08151465,5.058008655
40.88050379,22.93070198,7.265312007
37.40145512,13.65303237,7.284463022
35.66922184,25.01047961,5.422215997
42.87785166,16.78175227,8.394322877
40.77194422,24.19790867,7.062704686
28.03349759,10.95731198,5.317039096
31.23444136,18.15720051,5.301800473
29.9697828,24.10069045,3.747348059
39.87892585,14.53741033,7.816759026
25.67064869,25.9057409,
36.3977937,22.61559466,6.059000023
40.24917371,21.75123544,7.241064244
42.53531274,17.07097708,8.287449892
31.84163497,19.64902941,5.24576662
41.42514609,21.94698602,7.53487394
27.21263474,19.44924228,3.953788965
41.92904583,23.96626648,7.420306618
27.54977325,18.67393866,4.205066581
32.94574581,14.04546363,6.193798454
40.94590732,14.27867566,8.090613945
27.99834855,10.11607538,5.377159733
29.5850279,16.01915431,5.159307101
39.44505137,24.97835281,6.562592633
39.40073073,25.88325418,6.398219578
37.82295266,14.04935084,7.3571084
38.87896889,29.18087994,5.56855806
35.85448887,20.04805587,6.275368147
30.03598118,28.33957498,2.11139228
31.91391987,24.13530564,4.409293576
28.63195434,24.44866846,3.128791377
43.16901123,11.70087243,8.75444583
36.6678359,14.39982254,7.054835621
33.01702834,10.17629667,6.495813283
34.24011607,24.32255281,5.115291041
43.94566679,16.88876577,8.65287152
28.06702806,25.73305032,2.356000368
36.72459664,16.7787244,6.864509449
35.11777358,26.38667505,4.949515295
37.22908471,12.61396507,7.312515782
25.36220368,13.46746314,4.428051476
42.44247818,16.81753079,8.283306891
43.64236565,18.16974778,8.480839719
36.30266367,16.97405622,6.740271656
38.93301648,25.27294065,6.363149373
43.44998762,11.93902785,8.810668898
39.14477269,17.02434039,7.445304062
28.05078086,26.74479999,1.781987718
36.5257672,11.33594155,7.225850172
37.13430093,28.84687015,5.044431995
33.48261343,29.72633685,3.303422832
39.72888471,11.77136348,7.944340017
43.6873403,15.82545045,8.660307437
43.51137026,17.44801332,8.503520439
34.01678743,25.52782737,4.781900735
27.26476092,21.91853624,3.381605992
44.69682398,22.88731401,8.312372437
41.77796173,25.15019646,7.211891723
27.49325362,12.35957999,5.063337023
43.41683765,26.66418914,7.461529528
42.39792724,24.11239608,7.532038667
35.37676114,21.5468345,5.935421145
36.82550871,27.7947067,5.195263649
32.98005408,24.00612708,4.784389592
26.09523278,14.03399925,4.536788309
31.70394483,18.59490762,5.36490282
41.05706897,19.88085734,7.663218336
25.09264046,11.10435254,4.632096905
31.66998343,29.09275027,2.668548296
32.96337387,12.57154522,6.320115185
35.74791206,23.94922534,5.646583951
43.39711233,20.12462072,8.24858449
31.92691989,10.512645,6.22953493
31.93906404,28.49494952,3.074347612
39.75002496,27.03673618,6.297408419
34.04435882,20.48515856,5.724969568
29.49209646,14.57884672,5.307319138
34.04879032,12.43245781,6.583003064
27.81714041,17.26784959,4.520572944
28.52773973,15.10856562,5.006984077
34.96735545,20.13382402,6.025933189
33.37850899,29.32818592,3.412848638
43.29691802,21.49906986,8.085600292
32.24787798,27.79862112,3.480181687
36.61176701,23.01757675,6.056706974
37.64528576,19.50493053,6.814389037
25.26188913,27.09215125,
38.27074744,19.4273622,6.98620632
28.56071934,27.37256341,1.721095056
44.22140635,15.83153539,8.791624683
27.97325456,12.57626148,5.154353546
33.29248247,27.10628929,4.118760273
26.70699336,21.74830328,3.22877415
44.93748504,27.78184796,7.73924333
35.04390021,28.75654414,4.299435651
36.90770035,11.07256781,7.328215069
26.34152955,20.01938604,3.554905625
39.99920941,17.49929098,7.617671785
29.19811186,22.51716794,3.893124233
42.96108579,25.87182394,7.447116195
29.10279281,15.61180432,5.088683858
28.81375441,21.13596769,4.089081104
25.73099336,24.1745716,1.840124158
34.4413389,12.68862166,6.655928899
36.29682267,26.28133812,5.359693737
26.31417279,22.122192,2.968014368
40.51055233,28.99074874,6.153464919
34.06577669,16.79057838,6.198656098
35.48780539,12.16291885,6.935645542
33.81525494,20.13002402,5.714231858
33.01526122,11.71621543,6.395211667
36.19280663,29.39053047,4.552240809
28.10480492,10.77369917,5.348514539
28.63856261,25.07007802,2.910211088
42.23571242,20.50204796,7.908168084
43.92230924,17.37241305,8.612329465
32.46618633,11.31684329,6.297456984
30.41489346,22.44333848,4.308229964
37.87999086,21.70440659,6.60366225
33.17468342,15.61766546,6.099827462
25.50772711,28.20443403,
28.12305195,16.08220015,4.776933316
39.31944458,18.99450821,7.303546806
38.17847884,20.87524912,6.791886341
25.54191985,12.00463756,4.642466015
29.43944324,28.64323438,1.441988829
29.62149593,17.49072305,4.96938915
38.43785487,11.61558428,7.652118284
25.39421076,17.74582347,3.756380989
27.08217164,22.00405094,3.291951064
40.99832171,20.27305344,7.607371841
28.57089324,23.89083948,3.286258685
38.05492216,11.10967884,7.590050689
29.76365562,15.69081221,5.245138807
26.98882786,26.38461154,1.193014449
29.86344382,11.59787376,5.681227036
39.44533864,27.10971909,6.189127879
42.11392936,11.83792184,8.499883428
41.60439729,26.6890843,6.92139421
32.94367059,17.21576802,5.866869579
38.36170273,22.24418127,6.662540508
29.09968591,13.05774231,5.372290394
30.86295461,11.32337443,5.931301353
42.92671637,14.31876408,8.566299488
25.26003847,12.55707636,4.513764684
26.71017062,16.24811795,4.383182605
29.1577251,20.28766493,4.369212421
25.53064408,21.77518927,2.771439857
28.6287087,25.79736215,2.613087246
36.66083122,23.12479786,6.053656239
33.42849101,22.1751665,5.277664464
42.85343422,18.23564055,8.275439492
41.34887123,19.4761687,7.779114254
31.83634703,18.29041659,5.442644253
30.18846867,26.8433206,2.922515514
32.59384816,14.60000905,6.058277076
36.80589885,10.11441863,7.354214945
30.36127282,23.02639794,4.157337603
37.48297816,14.04924367,7.275932147
33.18823304,27.80230273,3.866820742
36.04094362,27.18092659,5.074104957
33.72253058,11.53454744,6.570010384
30.88931519,12.12776811,5.874086677
43.96906614,19.90343184,8.41764837
40.27211588,22.18445326,7.193777774
27.80226352,15.49816675,4.774120098
42.36935952,24.33595433,7.494215233
34.74862396,21.89832042,5.704239899
42.89104454,16.49648219,8.418077346
40.99710512,10.50742976,8.296716789
33.50427009,25.00300563,4.733191371
25.44938617,14.29507332,4.340720592
30.37354719,26.68947487,3.068030218
35.83268429,18.4058052,6.469360458
37.6695644,21.54154885,6.568085719
30.15775371,27.45897461,2.641597377
27.78712148,27.27246002,1.121924506
41.69860474,17.4303915,8.049908353
44.68804361,14.17777785,9.000917896
35.51380365,25.50292155,5.273240582
28.43358572,18.66160407,4.459238171
30.44614653,13.84083987,5.615502023
25.36781353,28.08850685,
43.28597613,13.96208388,8.673067789
27.35502166,10.51614336,5.200709609
36.53032951,10.40559948,7.277095073
30.48110441,22.44630713,4.328668498
36.08356005,23.23350121,5.869295035
38.02840777,16.2208341,7.237810204
41.59483607,16.40021978,8.10393374
29.12842544,16.7898783,4.939423297
25.21991657,23.60317094,1.851702357
27.7377126,11.16267582,5.232086156
43.00037284,28.58232705,7.020483001
42.47780155,14.45042088,8.44995847
36.94826204,29.9934641,4.664788757
37.01033721,13.43045388,7.207162599
38.30073349,25.43092915,6.14699382
28.50742557,14.4682509,5.078646875
43.28823892,11.61693603,8.786086537
33.3754105,27.49866649,4.034299331
32.66277056,27.17502518,3.856616687
35.37835411,18.07140785,6.39045947
25.93931934,24.04792285,2.030436542
28.32566738,21.14131865,3.933180229
39.76067233,27.05912227,6.296531233
26.65597336,16.30111939,4.360602419
37.06304219,20.473448,6.54375225
29.90698219,19.70744742,4.69453328
32.78591228,17.07811653,5.842921936
30.77387474,27.82910129,2.788557901
32.11345433,13.31755849,6.059989637
39.3809181,12.99017279,7.795696172
30.94243431,21.53819071,4.65941531
36.32809281,23.1498846,5.953840778
34.52100804,13.89238509,6.582225304
38.27342331,17.81434885,7.153910642
43.73659479,28.93127686,7.186171337
39.65144194,14.93234845,7.734528678
29.29880757,23.36721404,3.708244344
25.6236627,24.80298787,1.344335508
30.24528089,18.96257399,4.91396242
36.90155861,28.75051974,4.986542539
26.02851627,24.7331347,1.695543326
34.92732494,19.1584916,6.143454521
36.93685698,21.38670404,6.388971957
31.68487782,23.85226887,4.399848769
40.41824407,21.84380361,7.275473584
27.13196506,27.57395168,
26.50275563,17.13777325,4.183020062
